Name,Tag,File,File Name,Long Name
 php opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_php_opened.svg,folder_type_php_opened.svg,folder type php opened
 qlikview,File Format,https://wentin.github.io/vscode-icons/icons/file_type_qlikview.svg,file_type_qlikview.svg,file type qlikview
 e2e opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_e2e_opened.svg,folder_type_e2e_opened.svg,folder type e2e opened
 storyboard,File Format,https://wentin.github.io/vscode-icons/icons/file_type_storyboard.svg,file_type_storyboard.svg,file type storyboard
 rust toolchain,File Format,https://wentin.github.io/vscode-icons/icons/file_type_rust_toolchain.svg,file_type_rust_toolchain.svg,file type rust toolchain
 android,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_android.svg,folder_type_android.svg,folder type android
 rexx,File Format,https://wentin.github.io/vscode-icons/icons/file_type_rexx.svg,file_type_rexx.svg,file type rexx
 light fonts opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_light_fonts_opened.svg,folder_type_light_fonts_opened.svg,folder type light fonts opened
 git,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_git.svg,folder_type_git.svg,folder type git
 json official,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_json_official.svg,folder_type_json_official.svg,folder type json official
 pnpm,File Format,https://wentin.github.io/vscode-icons/icons/file_type_pnpm.svg,file_type_pnpm.svg,file type pnpm
 azurepipelines opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_azurepipelines_opened.svg,folder_type_azurepipelines_opened.svg,folder type azurepipelines opened
 electron opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_electron_opened.svg,folder_type_electron_opened.svg,folder type electron opened
 mariadb opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_mariadb_opened.svg,folder_type_mariadb_opened.svg,folder type mariadb opened
 android opened,Folder Format,https://wentin.github.io/vscode-icons/icons/folder_type_android_opened.svg,folder_type_android_opened.svg,folder type android opened
 vsixmanifest,File Format,https://wentin.github.io/vscode-icons/icons/file_type_vsixmanifest.svg,file_type_vsixmanifest.svg,file type vsixmanifest
